#,Date Posted,Time Posted,Author,Post Text,Retweets,Favorites,Source,Overall Sentiment,Postive,Neutral,Negative
1,10/8/2022,9:28 PM,@SachinY74155952,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
2,10/8/2022,9:27 PM,@GhedayS,RT @abiy_fans: The only African president who didn't take the bus ride on #queensfuneral @SahleWorkZewde Respect! Instead took ride with…,99,261,Twitter for Android,Positive,50%,25.10%,25%
3,10/8/2022,9:17 PM,@Ka688Ahmed,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
4,10/8/2022,8:40 PM,@propertywords,RT @TonyJohnsonYPN: The #Sheffield craftsmen at #SheffieldKnives who made the Cavalry's swords for the #Queensfuneral feature in this week…,2,4,Twitter for iPad,Neutral,33.30%,33.40%,33.30%
5,10/8/2022,8:36 PM,@DamilojuJLT,RT @DamilojuJLT: #queensfuneral same queen dat stained our nation with tears & blood. Anyway am not surprised dy likewise handed over our c…,6,12,Twitter for Android,Neutral,14.30%,57.20%,28.50%
6,10/8/2022,8:28 PM,@papriddey,RT @clairesmith1100: #queensfuneral #pallbearers #proudtobebritish 🖤 #GodSaveTheKing https://t.co/qd0ueQvexf,8,12,Twitter Web App,Neutral,33.30%,33.40%,33.30%
7,10/8/2022,8:27 PM,@MariaDe46510451,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
8,10/8/2022,8:16 PM,@OrjiUkaegbu,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
9,10/8/2022,8:01 PM,@MawandaJuuko,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
10,10/8/2022,7:36 PM,@resophonick,RT @TonyJohnsonYPN: The #Sheffield craftsmen at #SheffieldKnives who made the Cavalry's swords for the #Queensfuneral feature in this week…,2,4,Twitter for iPhone,Neutral,33.30%,33.40%,33.30%
11,10/8/2022,7:33 PM,@TonyJohnsonYPN,The #Sheffield craftsmen at #SheffieldKnives who made the Cavalry's swords for the #Queensfuneral feature in this… https://t.co/HCZ96QMfU3,2,4,Twitter Web App,Neutral,33.30%,33.40%,33.30%
12,10/8/2022,7:30 PM,@YangoAlfredo,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
13,10/8/2022,7:24 PM,@Invincibleak2,Ryan merkley is worse than pk subaan and pk is older than Lizzie. #QueenElizabeth #queensfuneral,0,0,Twitter for iPhone,Negative,25%,25.10%,50%
14,10/8/2022,7:20 PM,@GoodAirports14,RT @broken_fliss: Just watched #HIGNFY from last night & am SO glad to see #KamiKwasi on there about his despicable behaviour at the #queen…,7,47,Twitter for Android,Positive,40%,20%,40%
15,10/8/2022,6:51 PM,@Mshini_Musique,RT @RybroX: This is the sad truth about the South African education system 😤😭 . . . Mpho popps phume Zondo #Loadshedding #queensfuneral Es…,273,708,Twitter for Android,Positive,40%,20%,40%
16,10/8/2022,6:38 PM,@nycolasescobar,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
